City,Temperature (F),Humidity (%),Clouds(% Cloudy),Windspeed (mph),Latitude,Longitude,Country,Date-Time
ilebo,72.18,88,99,0.87,-4.3167,20.5833,CD,1612734462
yeysk,26.4,85,100,7.2,46.6989,38.2792,RU,1612734463
ayan,-5.96,85,100,21.59,56.45,138.1667,RU,1612734465
puerto penasco,63,64,47,5.99,31.3167,-113.5333,MX,1612734466
tilichiki,11.37,96,100,15.01,60.4667,166.1,RU,1612734467
tsiroanomandidy,68.7,91,100,3.62,-18.7667,46.0333,MG,1612734468
inhambane,78.98,85,100,8.75,-23.865,35.3833,MZ,1612734469
pemangkat,74.77,90,98,6.11,1.1667,108.9667,ID,1612734471
north bend,50.54,62,20,11.5,43.4065,-124.2243,US,1612734472
guarapuava,64.71,56,0,2.62,-25.3953,-51.4581,BR,1612734473
ottumwa,0.18,65,90,4.61,41.02,-92.4113,US,1612734474
ivanovka,39.2,81,100,6.71,42.8878,75.085,KG,1612734475
rudbar,60.67,29,31,13.62,30.15,62.6,AF,1612734477
matara,74.14,90,17,5.19,5.9485,80.5353,LK,1612734224
moree,73.4,68,0,10.36,-29.4667,149.85,AU,1612734479
lagoa,57.88,75,100,19.04,39.05,-27.9833,PT,1612734480
riohacha,84.18,60,96,13.71,11.5444,-72.9072,CO,1612734482
calvinia,60.89,53,0,4.97,-31.4707,19.776,ZA,1612734483
longyan,63,66,0,1.01,25.1072,117.0225,CN,1612734484
niteroi,74.62,88,75,8.05,-22.8833,-43.1036,BR,1612734485
ngunguru,70,77,87,5.01,-35.6167,174.5,NZ,1612734486
eregli,47.23,53,35,1.72,37.5133,34.0467,TR,1612734302
kaeo,70,77,41,5.01,-35.1,173.7833,NZ,1612734231
mujiayingzi,3.27,87,0,6.96,42.1167,118.7833,CN,1612734490
yendi,85.12,15,24,3.91,9.4427,-0.0099,GH,1612734200
kathmandu,41,93,20,2.3,27.7167,85.3167,NP,1612734492
paramonga,75.04,68,97,8.77,-10.6667,-77.8333,PE,1612734493
smithers,14,79,20,3.44,54.7804,-127.1743,CA,1612734495
kozmodemyansk,-7.6,77,40,13.42,56.3367,46.5711,RU,1612734496
palu,75.96,81,73,1.66,-0.8917,119.8707,ID,1612734497
mizan teferi,65.46,32,6,1.5,6.9833,35.5833,ET,1612734498
virginia beach,39.85,92,98,3,36.8529,-75.978,US,1612734476
tucuman,89.6,51,0,9.22,-26.8241,-65.2226,AR,1612734498
nanortalik,29.79,88,94,12.68,60.1432,-45.2371,GL,1612734502
libreville,78.8,94,20,4.61,0.3925,9.4537,GA,1612734503
pahrump,62.15,21,0,3.74,36.2083,-115.9839,US,1612734504
porto torres,53.6,71,40,6.91,40.835,8.3972,IT,1612734506
stryn,5.07,58,0,11.5,61.9045,6.7226,NO,1612734507
champerico,83.88,43,40,6.91,14.3,-91.9167,GT,1612734508
la ronge,-27.4,51,64,6.91,55.1001,-105.2842,CA,1612734509
kailua,75.76,50,90,4.61,21.4022,-157.7394,US,1612734510
edd,73.47,76,10,5.93,13.9297,41.6925,ER,1612734511
hauterive,39.2,75,75,3.44,46.0901,3.4459,FR,1612734513
vestmannaeyjar,38.77,74,50,22.57,63.4427,-20.2734,IS,1612734514
te anau,62.24,65,100,3.33,-45.4167,167.7167,NZ,1612734279
iquique,75.2,50,0,20.71,-20.2208,-70.1431,CL,1612734516
camocim,80.62,80,39,12.21,-2.9022,-40.8411,BR,1612734411
bonthe,79.65,81,20,7.7,7.5264,-12.505,SL,1612734519
balikpapan,78.8,94,40,4.61,-1.2675,116.8289,ID,1612734520
petauke,67.17,95,100,4.81,-14.2426,31.3253,ZM,1612734521
yerbogachen,20.08,97,100,4.63,61.2767,108.0108,RU,1612734522
at-bashi,23.02,83,85,1.74,41.1702,75.8106,KG,1612734523
koungheul,77.85,16,87,10,13.9833,-14.8,SN,1612734524
teya,21.11,92,73,14.47,60.3778,92.6267,RU,1612734526
tessalit,63.45,27,100,9.93,20.1986,1.0114,ML,1612734527
jiutai,-13,77,0,2.73,44.1525,125.8328,CN,1612734528
llangefni,35.73,60,90,19.57,53.2556,-4.3106,GB,1612734529
nuuk,32,40,65,13.8,64.1835,-51.7216,GL,1612734530
kismayo,77.14,80,0,16.89,-0.3582,42.5454,SO,1612734531
aklavik,-21.15,76,100,12.66,68.2191,-135.0107,CA,1612734533
ostrovnoy,4.21,92,76,15.73,68.0531,39.5131,RU,1612734305
tharad,58.35,34,0,5.46,24.3961,71.6267,IN,1612734535
katima mulilo,69.19,91,98,4.43,-17.5,24.2667,NA,1612734536
voloka,25.54,95,100,12.41,48.1922,25.9307,UA,1612734537
pundaguitan,79.54,84,100,9.08,6.3711,126.1689,PH,1612734538
krasnoarmeysk,-4.16,90,62,15.82,51.0239,45.6969,RU,1612734540
saint-georges,80.6,78,75,11.5,12.0564,-61.7485,GD,1612734541
road town,79.61,69,40,11.5,18.4167,-64.6167,VG,1612734542
anan,41,81,20,2.3,33.9167,134.65,JP,1612734543
itarema,80.73,77,0,13.76,-2.9248,-39.9167,BR,1612734544
nyrob,-22.14,86,100,6.51,60.733,56.7202,RU,1612734546
moerai,81.37,72,51,9.91,-22.4333,-151.3333,PF,1612734547
ust-karsk,-17.34,83,49,3.11,52.7011,118.8077,RU,1612734548
gawler,58.57,70,0,11.99,-34.6,138.7333,AU,1612734549
belmonte,80.6,78,75,11.5,-15.8631,-38.8828,BR,1612734550
saint anthony,-2.2,42,1,5.66,45.0205,-93.218,US,1612734552
bunia,66.06,38,58,3.36,1.5667,30.25,CD,1612734553
zaragoza,49.55,66,90,13.8,41.6561,-0.8773,ES,1612734554
bubaque,77.61,67,14,12.73,11.2833,-15.8333,GW,1612734555
porto novo,84.2,84,40,12.66,6.4965,2.6036,BJ,1612734556
montgomery,37.65,93,75,5.75,39.1501,-77.1997,US,1612734557
socorro,69.66,10,1,13.8,31.6546,-106.3033,US,1612734559
rocha,66.83,84,75,7.83,-34.4833,-54.3333,UY,1612734560
tabou,79.38,87,71,7.27,4.423,-7.3528,CI,1612734561
mount hagen,63.09,87,99,0.76,-5.8581,144.2274,PG,1612734563
valerianovsk,-9.9,86,100,10.8,58.76,59.5522,RU,1612734564
najran,62.6,42,55,2.3,17.4924,44.1277,SA,1612734565
hobyo,77.59,80,1,18.75,5.3505,48.5268,SO,1612734566
seddon,59.99,67,90,6.91,-37.8068,144.8916,AU,1612734567
chandler,70.92,20,44,1.99,33.3062,-111.8412,US,1612734533
sao paulo de olivenca,80.42,93,97,1.74,-3.3783,-68.8725,BR,1612734569
bonnybridge,33.33,74,92,4,56.0015,-3.8886,GB,1612734571
bridgetown,80.6,61,20,19.57,13.1,-59.6167,BB,1612734572
provideniya,-2.51,81,61,17.43,64.3833,-173.3,RU,1612734573
nizhniy baskunchak,14.45,77,0,13.02,48.2198,46.8311,RU,1612734574
nome,-4.45,84,1,3.85,64.5011,-165.4064,US,1612734575
tolbazy,-5.42,71,90,13.42,54.0241,55.8825,RU,1612734577
taoudenni,61.03,31,0,7.36,22.6783,-3.9836,ML,1612734500
deputatskiy,-26.48,85,44,2.26,69.3,139.9,RU,1612734579
ritchie,78.26,43,17,16.15,-29.038,24.6028,ZA,1612734580
bilma,68.92,20,100,8.88,18.6853,12.9164,NE,1612734581
lundamo,14.49,85,40,10.36,63.1333,10.3,NO,1612734582
sept-iles,20.97,68,23,2.3,50.2001,-66.3821,CA,1612734584
malyn,10.4,79,100,6.71,50.7723,29.2383,UA,1612734585
tiarei,86,58,20,4.61,-17.5333,-149.3333,PF,1612734586
fort nelson,-14.8,70,75,11.5,58.8053,-122.7002,CA,1612734587
chulym,12.42,94,100,14.83,55.0997,80.9572,RU,1612734588
chernyshevskiy,1.83,95,100,2.21,63.0128,112.4714,RU,1612734590
zeya,-15.77,81,0,3.22,53.75,127.2667,RU,1612734591
mana,77.95,86,97,13.15,5.6592,-53.7767,GF,1612734592
pingxiang,53.15,91,100,2.37,27.6167,113.85,CN,1612734593
watertown,30.31,93,90,5.75,42.3709,-71.1828,US,1612734594
san felipe,76.17,77,81,7.38,10.3399,-68.7425,VE,1612734595
isla mujeres,83.1,70,40,11.5,21.2311,-86.731,MX,1612734597
kaka,54.66,56,75,4.43,37.3482,59.6143,TM,1612734598
alekseyevsk,23.31,96,100,11.01,57.8406,108.3492,RU,1612734599
huoqiu,42.35,66,100,10.4,32.3394,116.2694,CN,1612734600
kilindoni,82.31,81,86,13.15,-7.9139,39.6668,TZ,1612734601
romny,3.7,92,100,4.09,50.751,33.4747,UA,1612734602
contamana,86,67,89,1.79,-7.3333,-75.0167,PE,1612734604
tumarbong,78.53,84,100,12.71,10.3766,119.4579,PH,1612734605
okha,14.76,96,100,24.47,53.5739,142.9478,RU,1612734606
walvis bay,64.67,77,4,11.5,-22.9575,14.5053,NA,1612734607
primorsk,27.45,83,100,11.1,46.7348,36.3443,UA,1612734608
hjelset,21.2,53,0,9.22,62.7833,7.4833,NO,1612734610
grand-santi,74.25,96,100,3.83,4.25,-54.3833,GF,1612734611
sao jose da coroa grande,79.16,79,84,10.29,-8.8978,-35.1478,BR,1612734612
micheweni,80.92,81,98,10.63,-4.9667,39.8333,TZ,1612734613
luau,66.47,97,100,5.59,-10.7073,22.2247,AO,1612734614
dickinson,58.96,63,1,11.5,29.4608,-95.0513,US,1612734615
gamba,78.22,86,100,3,-2.65,10,GA,1612734617
saint-joseph,79.27,69,75,4.61,-21.3667,55.6167,RE,1612734404
vangaindrano,77.29,91,79,6.49,-23.35,47.6,MG,1612734619
narrabri,71.91,64,0,12.66,-30.3167,149.7833,AU,1612734620
zhezkazgan,31.26,99,100,26.75,47.8043,67.7144,KZ,1612734621
roma,25.18,74,90,12.66,43.2128,-75.4557,US,1612734602
manavgat,55.33,94,87,4.61,36.7867,31.4431,TR,1612734624
vanimo,78.31,83,100,4.59,-2.6741,141.3028,PG,1612734625
juegang,42.01,76,92,3,32.3174,121.1855,CN,1612734626
geraldton,68,88,75,2.3,-28.7667,114.6,AU,1612734627
manzanillo,83.01,63,19,10.58,20.3433,-77.1167,CU,1612734628
alta floresta,73.51,95,99,3.02,-9.8756,-56.0861,BR,1612734630
frutal,73.83,71,32,1.92,-20.0247,-48.9406,BR,1612734631
ipixuna,78.8,78,40,10.36,-1.7625,-48.8043,BR,1612734632
saint-francois,38.64,81,90,2.3,46.4154,3.9054,FR,1612734633
kloulklubed,77,100,90,4.61,7.0419,134.2556,PW,1612734634
komsomolskiy,41,81,99,6.91,40.4272,71.7189,UZ,1612734636
aksarka,-17.3,88,100,29.28,66.5606,67.7975,RU,1612734637
santa helena de goias,73.87,80,34,4.81,-17.8136,-50.5969,BR,1612734638
constantine,48.2,71,75,6.91,36.365,6.6147,DZ,1612734433
ixtapa,75.2,73,20,11.5,20.7,-105.2,MX,1612734640
umm kaddadah,62.71,28,0,12.86,13.6017,26.6876,SD,1612734642
bairiki,80.6,89,20,10.36,1.3292,172.9752,KI,1612734643
flin flon,-25.6,56,1,10.36,54.7682,-101.865,CA,1612734644
wanning,68.67,89,67,4.68,18.8003,110.3967,CN,1612734645
anloga,84.2,84,20,11.5,5.7947,0.8973,GH,1612734646
sawtell,73.76,69,40,13.8,-30.3833,153.1,AU,1612734648
tazovskiy,-8.91,91,100,18.92,67.4667,78.7,RU,1612734649
andenes,32,69,75,19.57,69.3143,16.1194,NO,1612734650
senovo,49.57,76,90,3.44,46.0236,15.4769,SI,1612734651
obo,65.97,26,73,5.53,5.3998,26.4869,CF,1612734652
panaba,84.88,60,6,7.72,21.2833,-88.2667,MX,1612734653
